self.test_dataset is None. Custom split for Peptides will be used.
Epoch 92, Train mae: 0.34370280333684927, Validation mae: 0.33651851012132955, Test mae: 0.3466027139313279
Epoch 93, Train mae: 0.34629648699116206, Validation mae: 0.3390175897847016, Test mae: 0.35021927835142497
Epoch 94, Train mae: 0.34542284910981247, Validation mae: 0.3387528771701569, Test mae: 0.3492728402460148
Epoch 95, Train mae: 0.3427231383473873, Validation mae: 0.3361945569975496, Test mae: 0.34535094626417284
Epoch 96, Train mae: 0.3412444425585254, Validation mae: 0.3340318895291484, Test mae: 0.342818900335505
Epoch 97, Train mae: 0.33944865707354305, Validation mae: 0.3324748697658303, Test mae: 0.34336904687259595
Epoch 98, Train mae: 0.3378179587645133, Validation mae: 0.3310911711169537, Test mae: 0.34070518166657837
Epoch 99, Train mae: 0.36054524645013336, Validation mae: 0.3541463393476683, Test mae: 0.36491416236813207
Epoch 100, Train mae: 0.33830335967336594, Validation mae: 0.3307980033063623, Test mae: 0.34089634220061105
Epoch 101, Train mae: 0.3353685069893295, Validation mae: 0.32926589951194035, Test mae: 0.3396122890038329
Epoch 102, Train mae: 0.3682754341515317, Validation mae: 0.3623194998551315, Test mae: 0.3722216799401357
Epoch 103, Train mae: 0.3341826395668102, Validation mae: 0.32753025411485553, Test mae: 0.33665689792770115
Epoch 104, Train mae: 0.3525430498742185, Validation mae: 0.3428227877422547, Test mae: 0.3521642221089138
Epoch 105, Train mae: 0.3363797979111243, Validation mae: 0.32939424449821647, Test mae: 0.3395109001734082
Epoch 106, Train mae: 0.33451652925115144, Validation mae: 0.3281251616433985, Test mae: 0.33784105274258946
Epoch 107, Train mae: 0.3322887681318406, Validation mae: 0.3257361556495632, Test mae: 0.3362702298374045
Epoch 108, Train mae: 0.3383532279298418, Validation mae: 0.3305166822960836, Test mae: 0.3417124600049407
Epoch 109, Train mae: 0.3405264949531068, Validation mae: 0.3344626695058316, Test mae: 0.34477844072329233
Epoch 110, Train mae: 0.3358841891600348, Validation mae: 0.3289547932091725, Test mae: 0.33829978172332115
Epoch 111, Train mae: 0.3350154726664035, Validation mae: 0.3265632587996024, Test mae: 0.3376360156284489
Epoch 112, Train mae: 0.33028719126547773, Validation mae: 0.32320479140267355, Test mae: 0.3337080444531705
Epoch 113, Train mae: 0.33086780809461497, Validation mae: 0.32455728007764173, Test mae: 0.3357330045695982
Epoch 114, Train mae: 0.33400241219985344, Validation mae: 0.32694069405115506, Test mae: 0.3387788852516135
Epoch 115, Train mae: 0.3397555610331684, Validation mae: 0.3331676796366349, Test mae: 0.3447429069195219
Epoch 116, Train mae: 0.34328112147346235, Validation mae: 0.33708571812360905, Test mae: 0.3492343741673249
Epoch 117, Train mae: 0.3420046708828982, Validation mae: 0.3347208338942665, Test mae: 0.3473523868378116
Epoch 118, Train mae: 0.32755475623467517, Validation mae: 0.32070818415582053, Test mae: 0.33117567771803613
Epoch 119, Train mae: 0.3273631914344124, Validation mae: 0.32021594068002723, Test mae: 0.3323562576861813
Epoch 120, Train mae: 0.3374331191334259, Validation mae: 0.3310383250916889, Test mae: 0.3421997106136656
Epoch 121, Train mae: 0.3414018435036589, Validation mae: 0.3335211031276338, Test mae: 0.346720739796355
