Epoch 81, Loss: 1986.3465576171875, Train acc: -0.2474745213985443, Validation acc: -0.25266581773757935, Test acc: -0.25111791491508484
Epoch 82, Loss: 1982.115478515625, Train acc: -0.25474175810813904, Validation acc: -0.2602526545524597, Test acc: -0.2590182423591614
Epoch 83, Loss: 1983.601806640625, Train acc: -0.24835386872291565, Validation acc: -0.2528330385684967, Test acc: -0.2519999146461487
Epoch 84, Loss: 1988.1993408203125, Train acc: -0.24936196208000183, Validation acc: -0.25463202595710754, Test acc: -0.2521044909954071
Epoch 85, Loss: 1978.8253173828125, Train acc: -0.2458115965127945, Validation acc: -0.2513206899166107, Test acc: -0.24891264736652374
Epoch 86, Loss: 1981.611572265625, Train acc: -0.2459159791469574, Validation acc: -0.2520813047885895, Test acc: -0.2497210055589676
Epoch 87, Loss: 1979.6893310546875, Train acc: -0.2458905726671219, Validation acc: -0.25211018323898315, Test acc: -0.24937568604946136
Epoch 88, Loss: 1978.1365966796875, Train acc: -0.24743959307670593, Validation acc: -0.25323304533958435, Test acc: -0.250995010137558
Epoch 89, Loss: 1969.228759765625, Train acc: -0.24628901481628418, Validation acc: -0.25152286887168884, Test acc: -0.24904927611351013
Epoch 90, Loss: 1977.77685546875, Train acc: -0.2450300008058548, Validation acc: -0.2511823773384094, Test acc: -0.24836841225624084
Epoch 91, Loss: 1976.9925537109375, Train acc: -0.2460632622241974, Validation acc: -0.25046178698539734, Test acc: -0.2484918236732483
Epoch 92, Loss: 1966.0322265625, Train acc: -0.2469482272863388, Validation acc: -0.2525521218776703, Test acc: -0.25171959400177
Epoch 93, Loss: 1963.7681884765625, Train acc: -0.24415932595729828, Validation acc: -0.2502589225769043, Test acc: -0.2482891082763672
Epoch 94, Loss: 1973.9388427734375, Train acc: -0.24326996505260468, Validation acc: -0.2493099719285965, Test acc: -0.24710096418857574
Epoch 95, Loss: 1970.8734130859375, Train acc: -0.24606676399707794, Validation acc: -0.25219252705574036, Test acc: -0.24861599504947662
Epoch 96, Loss: 1958.6612548828125, Train acc: -0.24438679218292236, Validation acc: -0.25124359130859375, Test acc: -0.24873416125774384
Epoch 97, Loss: 1968.0426025390625, Train acc: -0.24560725688934326, Validation acc: -0.2515413761138916, Test acc: -0.24930618703365326
Epoch 98, Loss: 1966.9918212890625, Train acc: -0.24408063292503357, Validation acc: -0.2515209913253784, Test acc: -0.24806945025920868
Epoch 99, Loss: 1967.1668701171875, Train acc: -0.24781939387321472, Validation acc: -0.25434595346450806, Test acc: -0.25311747193336487
Epoch 100, Loss: 1955.1883544921875, Train acc: -0.2439505159854889, Validation acc: -0.25071293115615845, Test acc: -0.24746787548065186
Epoch 101, Loss: 1960.6026611328125, Train acc: -0.2447321116924286, Validation acc: -0.2512953281402588, Test acc: -0.2480694055557251
100 epochs without improvement, stopping training
Saved model in directory:  /n/home07/lfesser/fasrc/GNNs/GNN_Optimization_Dynamics
